days,departure_date,now,pageid,price,title,titleid,titleurl,total
4,2019-04-09,24,P002,20888,《沖繩好好玩》沖繩GO歡樂四日～美國村．海洋博．永旺夢樂城．OUTLET【現金優惠價】晚去晚回,OKACI90409TS,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90409TS&sacctNo=23420481,25
5,2019-04-09,19,P002,20900,釜濟雙城戀5日,PUS05BX9409P,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=PUS05BX9409P&sacctNo=04618569,20
4,2019-04-09,24,P002,21888,《沖繩好好玩》HAPPYGO四日～海洋博．萬座毛．瀨長島．A級飯店＜華航晚去晚回＞,OKACI90409GP,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90409GP&sacctNo=23420481,25
3,2019-03-27,10,P002,9999,香港盛世酒店自由行3天(含稅價)),0HKG190327ZZ,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=0HKG190327ZZ,10
5,2019-03-21,15,P002,28000,迷戀沙巴美人魚島5日(2人成行),BKIMH90321GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BKIMH90321GA&sacctNo=23420481,16
5,2019-03-21,15,P002,28300,汶萊五星帝國酒店．長鼻猴生態５天,BWNBI90321GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90321GA&sacctNo=23420481,16
5,2019-03-21,15,P002,32800,汶萊五星帝國酒店．烏魯淡武廊國家公園５天,BWNBI90321GB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90321GB&sacctNo=23420481,16
4,2019-04-09,24,P002,25888,《沖繩好好玩》夏戀沖繩四日～海洋博．恐龍森林公園．青洞浮潛．琉球文化村＜升等海濱飯店一晚＞＜晚去晚回＞,OKACI90409GL,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90409GL&sacctNo=23420481,25
4,2019-04-09,24,P002,26888,《沖繩好好玩》HI翻沖繩四日～海洋博公園．古宇利大橋．古宇利海洋塔～A級飯店A級享樂【華航晚去晚回】,OKACI90409GH,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OKACI90409GH&sacctNo=23420481,25
11,2019-04-09,0,P002,74900,超值經典伊比利西班牙葡萄牙雙國雙秀11天,SS1190409TKB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SS1190409TKB,26
10,2019-04-09,22,P002,79900,義然自得深度義大利10日【藍洞+高鐵+五鄉地+住島上】,EW1090409CIB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW1090409CIB,27
11,2019-03-21,0,P002,69900,探索約旦埃及～飄浮死海佩特拉悠閒紅海金字塔11天,AE1190321RJA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=AE1190321RJA,22
5,2019-03-22,2,P002,21500,寵愛長灘島五日小資-5J,KLO05190322A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190322A&sacctNo=70845312,14
5,2019-03-22,2,P002,23700,寵愛長灘島五日超值-5J,KLO05190322B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190322B&sacctNo=70845312,2
5,2019-03-22,2,P002,25900,寵愛長灘島五日精選-5J,KLO05190322C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190322C&sacctNo=70845312,2
9,2019-03-22,19,P002,63900,馬航-珍愛斯里蘭卡全覽9日,CMBMH90322GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CMBMH90322GA&sacctNo=23420481,20
5,2019-04-10,17,P002,22000,中越峴港風華再峴最美海灣~山茶半島世界遺產五日順化古都會安古鎮迦南島五行山。無購物.含稅險簽早午,DADFE90410GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=DADFE90410GA&sacctNo=23420481,20
5,2019-04-10,20,P002,25800,菲悅巴拉望一島一飯店～直飛超值渡假五日遊～東南亞航空XO,PPS05190410A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=PPS05190410A&sacctNo=70845312,20
5,2019-04-10,19,P002,29500,醬玩中越峴港漫遊會安豪華美食全程五星五日早午,DADFE90410GB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=DADFE90410GB&sacctNo=23420481,20
6,2019-04-10,21,P002,38900,【聯營團★越後新潟】小木盆舟、季節採果樂、百選溫泉之宿6日,KIJ190410FEA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ190410FEA,40
6,2019-04-11,4,P002,18400,長灘島直飛六日小資-台灣虎航,KLO06190411A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190411A&sacctNo=70845312,4
5,2019-04-11,20,P002,19500,長灘島直飛五日小資-東南亞航空XO,KLO05190411A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190411A&sacctNo=70845312,20
6,2019-04-11,4,P002,20400,長灘島直飛六日超值-台灣虎航,KLO06190411B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190411B&sacctNo=70845312,4
6,2019-04-11,4,P002,22400,長灘島直飛六日精選-台灣虎航,KLO06190411C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190411C&sacctNo=70845312,4
5,2019-04-11,20,P002,23500,長灘島直飛五日精選-東南亞航空XO,KLO05190411C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190411C&sacctNo=70845312,20
5,2019-04-11,15,P002,28300,汶萊五星帝國酒店．長鼻猴生態５天,BWNBI90411GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90411GA&sacctNo=23420481,16
5,2019-04-11,15,P002,32800,汶萊五星帝國酒店．烏魯淡武廊國家公園５天,BWNBI90411GB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90411GB&sacctNo=23420481,16
9,2019-04-11,6,P002,63900,馬航-珍愛斯里蘭卡全覽9日,CMBMH90411GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CMBMH90411GA&sacctNo=23420481,20
5,2019-04-12,19,P002,17900,韓國輕鬆遊5日,SEL05KE9412D,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL05KE9412D&sacctNo=04618569,20
6,2019-04-12,19,P002,18000,《酷鳥假期》龍蝦和牛吃到飽海上爭霸戰SPA雙夜市5+1日,BKK190412XWA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK190412XWA,20
5,2019-04-12,19,P002,18900,【韓國新玩法5日】,SEL05KE9412C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL05KE9412C&sacctNo=04618569,20
5,2019-04-12,20,P002,24900,薄荷島+宿霧與鯨同遊全覽5日-XO東南亞航空,CEB05190412D,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190412D&sacctNo=70845312,20
5,2019-04-12,15,P002,27200,迷戀沙巴美人魚島5日(2人成行),BKIMH90412GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BKIMH90412GA&sacctNo=23420481,16
5,2019-04-12,23,P002,30900,【聯營團★愛戀北海道】米其林料理、浪漫小樽、美蟹溫泉5日函旭,SPK190412ITA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SPK190412ITA,26
6,2019-04-12,39,P002,38900,【聯營團★越後新潟】小木盆舟、季節採果樂、百選溫泉之宿6日,KIJ190412FEA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ190412FEA,40
6,2019-04-13,4,P002,20400,長灘島直飛六日超值-台灣虎航,KLO06190413B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190413B&sacctNo=70845312,4
11,2019-03-10,0,P002,54900,春夏超值奧捷斯匈東歐四國全覽11天,EE1190310HUA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EE1190310HUA,24
5,2019-03-11,10,P002,15000,大阪自由行5日-樂桃航空,0KIX190311MM,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=0KIX190311MM,10
7,2019-03-12,4,P002,29900,雙城夢幻極光5+1晚3次遇見極光,AS0790312ZZA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=AS0790312ZZA,4
8,2019-03-12,0,P002,43900,一起牽手遊西班牙昆卡聖家堂OUTLET8天,ES0890312CAA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ES0890312CAA,27
11,2019-03-12,0,P002,54900,Ciao!義起玩、五漁村、威尼斯、OUELET11天,EW1190312HUA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW1190312HUA,35
10,2019-03-12,0,P002,72900,【直飛】冬季Ciao起來!義大利10天,EW1090312CIA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW1090312CIA,26
4,2019-03-14,20,P002,12500,【亞洲航空】清邁自由行4天-精選酒店(含稅),0CNX190314FD,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=0CNX190314FD,20
